method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
active_c8,0.001,0,9,256,L3,1.0,789.0,382.0,407,11731.0,382.0,0,0,3.348404999997001,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,9,256,L3,1.0,769.0,362.0,407,2809.0,362.0,0,0,4.454864999985375,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,9,256,L3,1.0,1073.0,864.0,209,3009.0,864.0,0,0,6.213905000009845,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,9,256,L3,1.0,26406.0,25999.0,407,67182.0,349.0,67182,0,26.90355600000771,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,9,256,L3,1.0,1235.0,828.0,407,2043.0,349.0,3548,3548,8.396250000004102,1040,4.13057899999103,13945,1.0,6.199421965317919,
prefilter_exact,0.001,0,12,0,L3,1.0,1040.0,0.0,1040,0.0,0.0,0,0,0.14614899998832698,1040,0.0,0,0.0,0.0,0.0
postfilter_hnsw,0.001,0,12,500,L3,0.1,,,1,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,500.0
postfilter_hnsw,0.001,0,12,1000,L3,0.1,,,1,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,1000.0
postfilter_hnsw,0.001,0,12,2000,L3,0.2,,,2,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,2000.0
postfilter_hnsw,0.001,0,12,4000,L3,0.4,,,4,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,4000.0
postfilter_hnsw,0.001,0,12,8000,L3,1.0,,,10,,,0,0,30.73137680000002,1040,0.0,0,0.0,0.0,8000.0
